,shop_name,language,year,brand,modell,condition,category_shop,stock_status,stock_text,stock_sizes,url-detail,price,rrp
0,rose-bikes,de,,MTB Fully,SOUL FIRE 3 Matt Black/Yellow,new,MTB Fully,1,,"S: Ausverkauft
M: Lieferzeit 6-10 Tage
L: Ausverkauft
XL: E-Mail bei Verfügbarkeit",https://www.rosebikes.de/rose-soul-fire-3-2697043,"3.999,00","4.099,00"
1,rose-bikes,de,,E-Bike,XTRA WATT EVO PLUS 1 Herren matt off-white,new,E-Bike,1,,"19"": Ausverkauft
21"": Lieferzeit 6-10 Tage
23"": Lieferzeit 6-10 Tage
25"": E-Mail bei Verfügbarkeit",https://www.rosebikes.de/rose-xtra-watt-evo-plus-1-herren-2693408?article_size=8276&product_shape=18350,"3.149,00","3.499,00"
2,rose-bikes,de,,MTB Fully,GROUND CONTROL 3 Matt Black/Light Olive,new,MTB Fully,1,,"S: Lieferzeit 6-10 Tage
M: E-Mail bei Verfügbarkeit
L: E-Mail bei Verfügbarkeit
XL: Lieferzeit 6-10 Tage",https://www.rosebikes.de/rose-ground-control-3-2707509?article_size=6847&product_shape=17611,"2.499,00","2.799,00"
3,rose-bikes,de,,MTB Hardtail,THE BRUCE 1 Midnight Green,new,MTB Hardtail,1,,"M: E-Mail bei Verfügbarkeit
L: E-Mail bei Verfügbarkeit",https://www.rosebikes.de/rose-the-bruce-1-2698588,"799,00","899,00"
4,rose-bikes,de,,Rennrad,X-LITE FOUR DISC Ultegra Di2 UD-Carbon/Piano-Black,new,Rennrad,1,,"50cm: Ausverkauft
53cm: Ausverkauft
55cm: Ausverkauft
57cm: Ausverkauft
59cm: Ausverkauft
62cm: E-Mail bei Verfügbarkeit",https://www.rosebikes.de/rose-x-lite-four-disc-ultegra-di2-2693197?article_size=7816&product_shape=18810,"3.899,00","4.399,00"
5,rose-bikes,de,,Rennrad,X-LITE FOUR Ultegra UD-Carbon/Piano-Black/Pure-White,new,Rennrad,1,,"50cm: Ausverkauft
53cm: Lieferzeit 6-10 Tage
55cm: Ausverkauft
57cm: Ausverkauft
62cm: E-Mail bei Verfügbarkeit",https://www.rosebikes.de/rose-x-lite-four-ultegra-2661720?article_size=7753&product_shape=14991,"2.899,00","2.999,00"
6,rose-bikes,de,,MTB Fully,GROUND CONTROL 3 *evil pepper green,new,MTB Fully,1,,"S: E-Mail bei Verfügbarkeit
M: E-Mail bei Verfügbarkeit
L: E-Mail bei Verfügbarkeit
XL: Lieferzeit 6-10 Tage",https://www.rosebikes.de/rose-ground-control-3-2707509?article_size=6847&product_shape=17611,"2.499,00","2.799,00"
7,rose-bikes,de,,MTB Hardtail,THE BRUCE 1 Mocha brown metallic,new,MTB Hardtail,1,,"M: E-Mail bei Verfügbarkeit
L: Lieferzeit 6-10 Tage",https://www.rosebikes.de/rose-the-bruce-1-2698588,"799,00","899,00"
8,rose-bikes,de,,Rennrad,PRO SL DISC Ultegra matt silvergrey,new,Rennrad,1,,"45cm: Lieferzeit 6-10 Tage
48cm: Ausverkauft
51cm: Ausverkauft
53cm: Ausverkauft
55cm: Ausverkauft
57cm: Ausverkauft
59cm: Ausverkauft
61cm: Ausverkauft
63cm: Ausverkauft
65cm: E-Mail bei Verfügbarkeit",https://www.rosebikes.de/rose-pro-sl-disc-ultegra-2693208,"1.949,00","1.999,00"
9,rose-bikes,de,,Rennrad,X-LITE FOUR DISC Ultegra Di2 mother-of-pearl/matt-black,new,Rennrad,1,,"50cm: Ausverkauft
53cm: Ausverkauft
55cm: Ausverkauft
57cm: Ausverkauft
59cm: Ausverkauft
62cm: E-Mail bei Verfügbarkeit",https://www.rosebikes.de/rose-x-lite-four-disc-ultegra-di2-2693197?article_size=7816&product_shape=18810,"3.899,00","4.399,00"
10,rose-bikes,de,,Rennrad,X-LITE FOUR Ultegra Grey/Lightning-Yellow,new,Rennrad,1,,"50cm: Ausverkauft
57cm: Ausverkauft
62cm: E-Mail bei Verfügbarkeit",https://www.rosebikes.de/rose-x-lite-four-ultegra-2661720?article_size=7753&product_shape=14991,"2.899,00","2.999,00"
11,rose-bikes,de,,MTB Fully,GROUND CONTROL 3 Mud Grey,new,MTB Fully,1,,"S: E-Mail bei Verfügbarkeit
M: E-Mail bei Verfügbarkeit
L: E-Mail bei Verfügbarkeit
XL: Ausverkauft",https://www.rosebikes.de/rose-ground-control-3-2707509?article_size=6847&product_shape=17611,"2.499,00","2.799,00"
12,rose-bikes,de,,MTB Hardtail,THE BRUCE 1 Splash Blue,new,MTB Hardtail,1,,"M: E-Mail bei Verfügbarkeit
L: Lieferzeit 6-10 Tage",https://www.rosebikes.de/rose-the-bruce-1-2698588,"799,00","899,00"
13,rose-bikes,de,,Rennrad,PRO SL DISC Ultegra mandarin red,new,Rennrad,1,,"45cm: Lieferzeit 6-10 Tage
48cm: Ausverkauft
51cm: Ausverkauft
53cm: Ausverkauft
55cm: Ausverkauft
57cm: Ausverkauft
59cm: Ausverkauft
61cm: Ausverkauft
63cm: Ausverkauft
65cm: E-Mail bei Verfügbarkeit",https://www.rosebikes.de/rose-pro-sl-disc-ultegra-2693208,"1.949,00","1.999,00"
14,rose-bikes,de,,Rennrad,X-LITE SIX DISC Force eTap AXS UD-Carbon/Aurora,new,Rennrad,1,,"59cm: Ausverkauft
62cm: E-Mail bei Verfügbarkeit",https://www.rosebikes.de/rose-x-lite-six-disc-force-etap-axs-2693202?article_size=7816&product_shape=18814,"4.699,00","5.799,00"
15,rose-bikes,de,,MTB Hardtail,THE BRUCE 1 Sterling Silver,new,MTB Hardtail,1,,"M: Lieferzeit 6-10 Tage
L: Lieferzeit 6-10 Tage",https://www.rosebikes.de/rose-the-bruce-1-2698588,"799,00","899,00"
16,rose-bikes,de,,Rennrad,X-LITE SIX DISC Ultegra Di2 raw carbon/silver,new,Rennrad,1,,"50cm: Ausverkauft
53cm: Ausverkauft
55cm: Ausverkauft
57cm: Ausverkauft
59cm: Lieferzeit 6-10 Tage
62cm: E-Mail bei Verfügbarkeit",https://www.rosebikes.de/rose-x-lite-six-disc-ultegra-di2-2693200?article_size=7816&product_shape=18814,"4.799,00","5.649,00"
17,rose-bikes,de,,E-Bike,XTRA WATT EVO ALLROAD AUTOMATIC DAMEN KOMFORT  Matt-Petrol/Shiny-White,new,E-Bike,1,,"17"": Ausverkauft
19"": Ausverkauft
21"": Ausverkauft
23"": E-Mail bei Verfügbarkeit",https://www.rosebikes.de/rose-xtra-watt-evo-allroad-automatic-damen-komfort-2681743?article_size=8276&product_shape=16479,"3.759,00","4.469,00"
18,rose-bikes,de,,Rennrad,X-LITE SIX DISC Force eTap AXS UD-Carbon/Piano-Black,new,Rennrad,1,,"57cm: Ausverkauft
62cm: E-Mail bei Verfügbarkeit",https://www.rosebikes.de/rose-x-lite-six-disc-force-etap-axs-2693202?article_size=7816&product_shape=18814,"4.699,00","5.799,00"
19,rose-bikes,de,,MTB Fully,GROUND CONTROL 1 Mud Grey,new,MTB Fully,1,,"S: Lieferzeit 6-10 Tage
M: Lieferzeit 6-10 Tage
L: Lieferzeit 6-10 Tage
XL: Lieferzeit 6-10 Tage",https://www.rosebikes.de/rose-ground-control-1-2693541,"1.949,00","1.999,00"
20,rose-bikes,de,,Rennrad,X-LITE SIX DISC Ultegra Di2 UD-Carbon/Piano-Black,new,Rennrad,1,,62cm: E-Mail bei Verfügbarkeit,https://www.rosebikes.de/rose-x-lite-six-disc-ultegra-di2-2693200?article_size=7816&product_shape=18814,"4.799,00","5.649,00"
21,rose-bikes,de,,E-Bike,XTRA WATT EVO ALLROAD AUTOMATIC DAMEN KOMFORT  Matt-Silver,new,E-Bike,1,,"17"": Ausverkauft
19"": Ausverkauft
21"": Ausverkauft
23"": E-Mail bei Verfügbarkeit",https://www.rosebikes.de/rose-xtra-watt-evo-allroad-automatic-damen-komfort-2681743?article_size=8276&product_shape=16479,"3.759,00","4.469,00"
22,rose-bikes,de,,MTB Hardtail,THE BRUCE 2 Mocha brown metallic ,new,MTB Hardtail,1,,"M: Lieferzeit 6-10 Tage
L: Lieferzeit 6-10 Tage",https://www.rosebikes.de/rose-the-bruce-2-2698591,"1.199,00","1.399,00"
23,rose-bikes,de,,Rennrad,X-LITE SIX DISC Force eTap AXS raw carbon/silver,new,Rennrad,1,,"50cm: Ausverkauft
53cm: Ausverkauft
55cm: Ausverkauft
57cm: Ausverkauft
59cm: Ausverkauft
62cm: E-Mail bei Verfügbarkeit",https://www.rosebikes.de/rose-x-lite-six-disc-force-etap-axs-2693202?article_size=7816&product_shape=18814,"4.699,00","5.799,00"
24,rose-bikes,de,,MTB Fully,GROUND CONTROL 1 Matt Black/Light Olive,new,MTB Fully,1,,"S: Ausverkauft
M: Lieferzeit 6-10 Tage
L: Lieferzeit 6-10 Tage
XL: Lieferzeit 6-10 Tage",https://www.rosebikes.de/rose-ground-control-1-2693541,"1.949,00","1.999,00"
